geneid,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Zm00001d025855,149.537777,-10.55453663,1.267253644,-8.328669384,8.18E-17,5.19E-15
Zm00001d028341,77.12329509,-9.599024387,1.292936552,-7.42420374,1.13E-13,4.76E-12
Zm00001d021770,61.62306055,-9.274463119,1.324296059,-7.003315503,2.50E-12,8.50E-11
Zm00001d018276,51.86075753,-9.02599228,1.305444104,-6.914116238,4.71E-12,1.53E-10
Zm00001d004238,49.55697385,-8.960104015,1.478511094,-6.060221024,1.36E-09,2.89E-08
Zm00001d011745,42.1853326,-8.729241375,1.384151433,-6.306565284,2.85E-10,6.88E-09
Zm00001d049678,42.21177437,-8.728518286,1.427957563,-6.112589416,9.80E-10,2.13E-08
Zm00001d005986,39.42533281,-8.630029116,1.56046153,-5.530433754,3.19E-08,5.23E-07
Zm00001d009034,29.4502283,-8.210584999,1.385952527,-5.924145914,3.14E-09,6.24E-08
Zm00001d029705,26.95233899,-8.08302939,1.47071502,-5.495986158,3.89E-08,6.24E-07
Zm00001d004127,26.78746225,-8.071832793,1.712944186,-4.712256745,2.45E-06,2.54E-05
Zm00001d026104,26.70040747,-8.067523866,1.444629152,-5.584494716,2.34E-08,3.93E-07
Zm00001d024352,24.48472644,-7.942889056,2.561468385,-3.100912392,0.001929254,0.008496621
Zm00001d016669,24.27705003,-7.930072741,1.571550522,-5.04601833,4.51E-07,5.73E-06
Zm00001d040373,23.04658976,-7.854889884,1.843985113,-4.259736063,2.05E-05,0.000166041
Zm00001d047228,22.23268578,-7.804393052,1.43283079,-5.446835108,5.13E-08,8.02E-07
Zm00001d041161,22.15015639,-7.80011663,1.526475369,-5.109886991,3.22E-07,4.23E-06
Zm00001d038005,22.1053671,-7.795287126,1.575329764,-4.948352596,7.48E-07,8.93E-06
Zm00001d012251,21.65271826,-7.767267277,1.497651822,-5.186297083,2.15E-07,2.94E-06
Zm00001d003668,19.58539544,-7.620060392,1.812287755,-4.204663621,2.61E-05,0.000205735
Zm00001d035265,17.66364843,-7.472209281,1.515795832,-4.929561834,8.24E-07,9.72E-06
Zm00001d010228,17.53259051,-7.461477936,2.470484111,-3.020249312,0.002525667,0.01067798
Zm00001d032072,17.46006401,-7.457128368,1.636915504,-4.555597617,5.22E-06,4.93E-05
Zm00001d047224,17.36570744,-7.449281871,1.608725924,-4.630547541,3.65E-06,3.59E-05
Zm00001d025507,17.17473698,-7.430187067,1.823462514,-4.074768201,4.61E-05,0.000339917
Zm00001d001818,17.07342099,-7.422029373,1.617230878,-4.589344338,4.45E-06,4.28E-05
Zm00001d014806,16.83287789,-7.404254346,1.719647331,-4.305681875,1.66E-05,0.000138501
Zm00001d028876,16.74173678,-7.393968109,1.683440784,-4.39217594,1.12E-05,9.73E-05
Zm00001d045258,16.48049243,-7.372046891,1.853131523,-3.978156326,6.95E-05,0.000485921
Zm00001d020446,16.28325766,-7.354926182,1.594053258,-4.613977698,3.95E-06,3.85E-05
Zm00001d033152,16.01618776,-7.332243398,1.64534047,-4.456368474,8.34E-06,7.49E-05
Zm00001d005124,15.71024955,-7.302556525,1.558768785,-4.68482343,2.80E-06,2.85E-05
Zm00001d042795,15.57754343,-7.291830901,1.595943482,-4.568978152,4.90E-06,4.66E-05
Zm00001d001885,15.38517672,-7.274457133,1.632629941,-4.455668091,8.36E-06,7.51E-05
Zm00001d023321,15.33595276,-7.267592321,1.778791262,-4.085691491,4.39E-05,0.000326299
Zm00001d042766,15.30386214,-7.26567901,1.580045174,-4.598399544,4.26E-06,4.11E-05
Zm00001d039669,15.21559318,-7.256441398,1.752285544,-4.141129522,3.46E-05,0.000263583
Zm00001d045279,14.55909818,-7.194322854,1.556093704,-4.623322385,3.78E-06,3.70E-05
Zm00001d037172,14.53222871,-7.190010102,2.631946226,-2.73182257,0.006298505,0.022994627
Zm00001d004744,14.50240078,-7.186085495,1.919195177,-3.744322402,0.000180881,0.001117247
Zm00001d022351,14.28985662,-7.165226936,1.946811636,-3.680493173,0.000232783,0.001391082
Zm00001d042047,14.14349402,-7.150636774,1.792292783,-3.989658855,6.62E-05,0.000466503
Zm00001d016963,14.0047006,-7.135892988,1.996631694,-3.573965599,0.000351615,0.001977199
Zm00001d000233,13.97730167,-7.134640936,2.551197694,-2.796584895,0.005164584,0.019425835
Zm00001d032510,13.37516107,-7.070647876,1.641323805,-4.307893333,1.65E-05,0.00013735
Zm00001d047752,13.36185736,-7.068946437,2.612408541,-2.705911547,0.006811719,0.024551835
Zm00001d034322,13.33594001,-7.066442309,2.570771423,-2.748763366,0.005982056,0.02201167
Zm00001d052804,12.78850122,-7.007002967,1.754627448,-3.993442011,6.51E-05,0.000460082
Zm00001d048601,12.35159076,-6.954530591,1.863090589,-3.732792507,0.000189369,0.001162798
Zm00001d012615,12.09991592,-6.926487815,1.938875193,-3.572425828,0.00035369,0.001986285
Zm00001d048658,11.42915501,-6.843454812,2.673738606,-2.559507798,0.01048205,0.035300052
Zm00001d019258,11.23870296,-6.821508315,1.797613587,-3.794757875,0.000147788,0.000940318
Zm00001d026206,11.13503893,-6.806036585,1.736097969,-3.92030675,8.84E-05,0.000602883
Zm00001d025041,11.03485681,-6.793374597,1.643536903,-4.13338732,3.57E-05,0.000271532
Zm00001d025059,10.42210354,-6.709826539,1.844242547,-3.638256015,0.00027449,0.001598066
Zm00001d045787,10.4027979,-6.707721085,2.699913303,-2.484420917,0.012976233,0.042108847
Zm00001d002758,10.2837432,-6.692902533,2.6602454,-2.515896667,0.011872999,0.039102327
Zm00001d039977,9.875446172,-6.631375386,2.108854538,-3.144539022,0.001663487,0.007483841
Zm00001d038490,9.821525163,-6.625380201,1.724234276,-3.842505797,0.000121785,0.000792777
Zm00001d011083,9.683774908,-6.603134117,1.934055891,-3.41413821,0.000639841,0.003308975
Zm00001d004417,9.631159105,-6.59739261,1.758035395,-3.752707499,0.000174935,0.001087165
Zm00001d017428,9.559590416,-6.58498037,1.927797293,-3.415805383,0.000635937,0.003290305
Zm00001d025762,9.392007194,-6.560695031,1.727596797,-3.797584624,0.000146113,0.000931147
Zm00001d040624,9.341916134,-6.553299462,1.709529156,-3.833394383,0.000126387,0.000820716
Zm00001d032854,9.249907931,-6.537746281,1.773216544,-3.686941847,0.000226965,0.001361262
Zm00001d022459,9.126242497,-6.520987719,1.777621932,-3.668377175,0.000244095,0.001449221
Zm00001d022430,9.106070074,-6.515038961,2.057167851,-3.166994349,0.001540233,0.007018933
Zm00001d052064,9.052844502,-6.509677987,1.827233105,-3.562587592,0.000367217,0.002049722
Zm00001d001066,8.897441527,-6.480782879,2.135005517,-3.03548765,0.002401471,0.010228523
Zm00001d053895,8.861697337,-6.478388108,1.771833215,-3.656319373,0.000255863,0.001506984
Zm00001d045514,8.848741343,-6.472924457,2.102822124,-3.078208273,0.002082493,0.009058307
Zm00001d052999,8.700378098,-6.449871736,1.764485466,-3.655383885,0.000256797,0.001511022
Zm00001d031772,8.57141121,-6.430020087,1.984679762,-3.239827508,0.00119602,0.005667633
Zm00001d051478,8.527579092,-6.423172316,1.810217243,-3.548288108,0.000387744,0.002149255
Zm00001d042756,8.463574551,-6.409096742,1.936703359,-3.309281575,0.000935357,0.004591795
Zm00001d029558,8.429397617,-6.40595788,1.931193194,-3.317098413,0.000909576,0.004480978
Zm00001d009732,8.394520523,-6.399308667,2.151664555,-2.974120038,0.002938301,0.012143028
Zm00001d027673,8.389652457,-6.398561894,1.771161106,-3.612636858,0.000303099,0.001741541
Zm00001d025121,8.344343794,-6.390004117,1.817348989,-3.516112841,0.000437915,0.002383119
Zm00001d027958,8.294424073,-6.383336007,1.996301135,-3.197581716,0.001385851,0.006421613
Zm00001d038443,8.147804464,-6.357063542,1.794471476,-3.542582665,0.000396229,0.002186692
Zm00001d007445,8.108235684,-6.347313098,1.915164911,-3.314238404,0.000918931,0.004517743
Zm00001d048227,8.032489326,-6.335056737,1.78616116,-3.546744202,0.000390023,0.002160843
Zm00001d021682,8.013617068,-6.331134881,2.016912006,-3.139023846,0.001695117,0.007613706
Zm00001d043672,7.944220363,-6.317768549,2.181728405,-2.895763072,0.003782379,0.014984399
Zm00001d012332,7.599146449,-6.25513109,2.085037589,-3.000008788,0.002699718,0.011314402
Zm00001d011868,7.532269445,-6.241511732,1.865718491,-3.345366283,0.00082174,0.004109919
Zm00001d026147,7.480177741,-6.233093559,1.865238003,-3.341714864,0.000832625,0.004152714
Zm00001d021266,7.343294263,-6.205129731,1.877057449,-3.305775076,0.000947141,0.004638373
Zm00001d032745,47.82591499,-6.151230329,1.578895847,-3.895906333,9.78E-05,0.000656453
Zm00001d021942,7.009785786,-6.137170471,1.948363547,-3.149910333,0.001633206,0.007370867
Zm00001d019405,6.984044818,-6.132174451,1.993594166,-3.075939204,0.002098406,0.00912098
Zm00001d049716,6.965172561,-6.127677623,2.105802211,-2.90990179,0.003615423,0.014439303
Zm00001d023061,6.964824842,-6.127514182,2.076641736,-2.950684307,0.003170708,0.012948126
Zm00001d010623,6.908036411,-6.119370169,1.908974795,-3.205579344,0.001347909,0.006270724
Zm00001d016840,6.89046936,-6.113254442,1.915453252,-3.19154458,0.001415143,0.006539375
Zm00001d021724,6.886296732,-6.112570258,2.015200832,-3.03323131,0.002419501,0.010295191
Zm00001d044806,6.868467631,-6.10783399,2.011745245,-3.036087201,0.0023967,0.010213947
Zm00001d022549,6.84742339,-6.102614371,2.316399702,-2.634525624,0.008425494,0.029416923
Zm00001d025781,6.808897449,-6.098921548,2.081826396,-2.929601411,0.00339397,0.013708402
Zm00001d015721,6.722452749,-6.079093687,1.940378569,-3.132942088,0.001730636,0.007741122
